gal,sn,dist,edist,kmag,ekmag,dsbf,ed,m,em
IC2597,SN2007cv,33.673,0.082,8.634,0.026,54.3,2.1,11.478,0.093
NGC0495,SN1999ej,34.049,0.081,10.116,0.036,64.5,2.4,10.990,0.093
NGC0524,SN2000cx,32.212,0.090,0,0,0,0,10.929,0.089
NGC0809,SN2006ef,34.376,0.109,0,0,0,0,10.35,0.18
NGC0890,PTF13ebh,33.296,0.081,0,0,0,0,10.86,0.05
NGC0910,SN2008hs,34.459,0.093,9.357,0.033,77.9,3.3,11.504,0.103
NGC1200,SN2008R,33.660,0.080,0,0,0,0,11.25,0.12
NGC1201,SN2003hv,31.347,0.074,0,0,0,0,10.565,0.06
NGC1259,SN2008L,34.365,0.105,10.663,0.045,74.6,3.6,10.888,0.120
NGC1272,SN2016arc,34.256,0.099,0,0,0,0,0,0
NGC1278,SN2016ajf,34.202,0.106,9.254,0.027,69.2,3.4,11.436,0.116
NGC2258,SN1997E,33.781,0.094,0,0,0,0,11.199,0.069
NGC2765,SN2008hv,33.725,0.083,0,0,0,0,10.55,0.18	
NGC2962,SN1995D,32.532,0.084,0,0,0,0,10.597,0.069
NGC3158,SN2018aaz,34.806,0.099,0,0,0,0,0,0
NGC3392,SN2010Y,33.861,0.088,10.862,0.05,59.2,2.4,10.580,0.106
NGC4036,SN2007gi,31.776,0.078,0,0,0,0,0,0
NGC4386,SN2014bv,32.427,0.080,0,0,0,0,10.48,0.064
NGC5353,SN2019ein,32.711,0.076,7.654,0.011,34.8,1.2,11.484,0.080
NGC5490,CSP15aae,34.267,0.080,9.028,0.023,0,0,11.14,0.08
NGC5839,SN2015bp,32.369,0.078,0,0,0,0,9.979,0.137
NGC6702,SN2002cs,33.992,0.087,9.302,0.027,62.9,2.5,11.324,0.095
NGC6964,SN2002ha,33.685,0.096,9.684,0.031,54.6,2.4,11.021,0.106
NGC7619,SN1970J,33.341,0.081,0,0,0,0,11.34,0.073
ESO125-G006,SN2008ia,34.896,0.195,0,0,0,0,10.77,0.5




